"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1027","Get user by not exist id","tests","2026-07-07","skipped","2026-07-07","","test_api","",""
"","1637","Delete cart with not exist id","tests","2026-07-07","skipped","2026-07-07","","test_api","",""
"","860","Get products","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","832","Delete user with not exist id","tests","2026-07-07","skipped","2026-07-07","","test_api","",""
"","1176","Update product","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","899","Get cart by id","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","1372","Create new user","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","8411","test_login_without_username","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
"","914","Delete user","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","1220","Auth negative test","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","8365","test_making_an_order","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
"","1426","test_update_user","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","812","Get users","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","618","Delete cart","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","10682","test_add_product_to_cart_on_product_page","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
"","7288","test_login_locked_user","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
"","8615","test_login_without_password","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
"","1812","Auth test","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","802","Get carts","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","1629","Create new product","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","2246","test_login_with_wrong_password","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
"","5051","test_login_and_logout","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
"","790","Update cart","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","1409","Create cart","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","511","Get cart by not exist id","tests","2026-07-07","skipped","2026-07-07","","test_api","",""
"","715","Get product by not exist id","tests","2026-07-07","skipped","2026-07-07","","test_api","",""
"","2735","test_add_product_to_cart_on_main_page","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
"","619","Delete product","tests","2026-07-07","passed","2026-07-07","","test_api","",""
"","11185","test_add_to_cart_and_delete_in_cart","tests","2026-07-07","passed","2026-07-07","","test_ui","",""
